nom|numéro de producteur|price|lot de n unité|stock|EAN
Courgettes vrac 1kg|HJF83855TSP74|9.34|10|15|1540454161
Avocat Hass Bio|LVE85973RKM47|13.9|8|6|4842240539
Concombre Bio|OEQ90360ILZ93|5.76|9|4|9328868108
Avocat Hass|XFC15293NAE62|12.49|4|6|9410743390
Salade Laitue verte|NWI90891LFY15|18.33|7|14|3526080853
Tomates cerises allongées 250g|CDZ83740FMK31|12.03|10|9|9267055716
Artichaut blanc|PVB87770NTU71|12.83|7|18|1768630408
Tomates cerises mélangées Bio 250g|PMH49834BJI78|2.76|10|1|3430669719
Tomates cerises mélangées 350g|KWU41272GYR15|4.44|2|16|1858115985
Courgettes PREMIER PRIX 1kg|OKB32449ROG23|15.3|5|11|6535859141
Tomates cerises rondes 400g|OAR17653GQT76|3.82|2|13|4389511556
Tomates rondes charnues à farcir vrac 1kg|FAN42339NHO46|16.84|6|3|9498889796
Radis roses|UVQ83745VXF40|15.07|6|2|7551561388
Courgette vrac Bio 1kg|HUI93380VDP75|12.88|3|10|9736979062
Tomates allongées vrac 250g|TDH30328ROE57|10.82|3|1|3060845806
Tomates cerises en grappe 300g|WVP98972ASK25|6.57|5|14|5380353995
Tomates cerises rondes et allongées panachée 1kg|THG90790ZHP22|10.93|6|4|2907455972
Tomates côtelées jaunes vrac 1kg|TSJ61427BXK30|9.21|3|6|6623154507
Tomates rondes PETIT PRIX 1kg|JMG18566GQE85|16.4|9|9|9304801835
Epinards 400g|HJK82785SAT31|14.31|10|9|7391169184
Fenouil vrac|DHU97167FXB42|12.17|10|7|5716667016
Tomate ronde en grappe vrac Bio 1kg|LMH29174FBZ56|7.24|7|12|6524051913
Aubergines violettes vrac |PON45385SQK68|8.62|9|16|1613576580
Navets ronds violets vrac|MOI26918EWB89|13.52|2|19|3066994519
Asperges vertes|ISN23096UWB59|3.02|9|14|4606522770
Chou fleur|ZUX31389PLU65|9.37|10|16|8529600942
Endives|CQT78944GDW64|17.85|9|11|7073928951
Pommes de terre rouge vapeur gratin et rissolée Franceline 2,5kg|IMR91370TSY20|6.52|1|18|4939087261
Salade Batavia|GJK88061QVP48|4.17|1|19|6082549205
Champignons de Paris blancs 500g|STW53823JHZ92|14.56|4|10|8505142856
Champignons blancs 250g|UVC16580XRA35|6.21|2|17|4910432609
Asperges violette Bio 500g|KSX16359MSL24|5.11|10|0|8514231590
Oignons jaunes 500g|WGR99210BEY73|4.17|5|19|3643269089
Oignons rouges 500g|KPQ69110IUE44|10.82|1|14|6839360524
Pommes de terre de conservation vrac 1kg|PDI36693NPJ40|19.96|6|15|3295805168
Poivrons rouges vrac (2)|EVD23149AYU32|15.29|7|3|6554383559
