nom,date limite de consomation,numéro de producteur,prix,stock,EAN
Filets de poulet 850g,2023-07-22,JEX87685WAY60,16.75,20,7767757358
Poulet blanc d'Auvergne Label Rouge FILIERE QUALITE,2023-07-09,OVX13999FDU25,12.75,10,1977017485
Escalopes de dinde 250g,2023-07-17,ELR39949ZBU95,28.61,15,1347231359
Gésiers de volaille cuisinés en confit 300g,2023-08-06,KCV18222OTJ91,4.16,8,6171667310
Nuggets de poulet 400g,2023-08-11,DBS67902HUI58,5.28,18,3550549612
Chipolatas supérieures (6),2023-09-08,RKI61041ECY19,8.41,19,1248160098
Cordons bleus de dinde 400g,2023-07-21,DTS19657XIF14,25.23,24,5433989235
Viande hachée pur bœuf 15% MG  400g,2023-06-18,JUT34474HIF72,24.16,8,6354452974
Viande hachée pur bœuf 5% MG 350g,2023-08-19,FHV97935MOK41,17.23,5,9037378742
Steaks hachés pur bœuf 15% MG (2),2023-07-25,CNP30542GHK73,7.31,11,8714089825
Viande Bovine: Bavette d'Aloyau 130g,2023-08-27,TNM55742MAT12,15.71,24,1753068697
Poulet blanc prêt à cuire ,2023-07-26,SKE28348GNQ30,18.81,4,2176792786
Viande bovine: Bavette d'Aloyau BIO,2023-08-04,YJF22525WLJ72,28.07,11,2784172942
Viande hachée Bio pur bœuf 15% MG BIO 350g,2023-08-24,FCT98862RSI22,20.84,1,6335659054
Viande bovine: entrecôte 250g,2023-07-03,LWD29464LNY55,26.13,17,8400444039
Chipolatas supérieures (12),2023-06-30,OSE97935VMF25,14.27,4,1073109003
Viande bovine : Bavettes d'Aloyau 260g,2023-07-11,OLM33697TQP35,22.0,12,9431674912
Viande hachée au bœuf bolognaise 350g,2023-07-19,ZLH51191YFR86,15.38,17,8600528576
Viande de veau: Osso Bucco 600g,2023-07-26,SLO24433LYM72,26.64,23,7020512167
Viande de Veau: Côte 1kg,2023-06-25,IVU88238RQT13,24.63,24,4406553276
Viande Bovine: Entrecôte 180g,2023-07-06,UEN77978SEG16,26.08,22,1323326169
Viande bovine : Pavés Rumsteck (2),2023-08-17,ILG60646TFO56,18.25,11,3212073131
Steak haché pur bœuf 5% MG BIO (2),2023-06-12,MNW81770STO31,7.17,0,6890016307
Escalopes de dinde à la milanais (2),2023-07-08,PCS92849OYW89,12.8,18,6530622551
"Viande de porc: Filet mignon 1,2kg",2023-08-23,ZRJ39454SQL95,14.61,18,1677461234
Steaks (2),2023-07-14,EFS23336SLU27,8.67,22,1798367017
Grignottes de poulet rôties nature 250g,2023-08-17,WYQ64312SZN99,23.19,11,7655460307
Viande Bovine: Rumsteck 700g,2023-06-30,IRD35975ROW11,14.21,24,5868520043
Viande Bovine: fondant de Faux-filet 140g,2023-09-08,QWJ22425CQR32,7.52,18,9910244487
Viande de Porc: Côtes échine Label Rouge (2),2023-08-29,SWP34394AQB90,25.34,6,8214840509
Merguez bœuf et mouton (12),2023-08-17,FNJ77593BIK42,5.55,6,8545061571
Chair à saucisse pur porc  500g,2023-08-05,MYI57504JTI58,20.23,9,7037544981
Viande Bovine: Tartare 5% MG et sa sauce 250g,2023-08-21,ZJN11325TKJ22,24.8,4,1377555881
Carpaccio de boeuf basilic 230g,2023-09-06,FXL26639PKZ82,34.62,9,9736490408
Bavette Aloyau (2),2023-08-18,CUA31123BLS84,19.0,6,6975226625
Carpaccio bœuf parmesan et marinade 230g,2023-08-24,ZOL15164VKM97,21.19,22,9739302730
Viande Bovine: pavés de rumsteck 3 poivres (2),2023-08-29,KFE89221FMB83,13.61,9,4585513202
Filets de poulet 1kg,2023-08-17,RDC31302DMH93,6.65,10,5808664129
Viande Bovine: Pavé de Rumsteck à griller (2),2023-08-28,YML25521JCY70,5.88,21,4159457445
Saucisses traditionnelles de Toulouse (4),2023-07-22,AWB95972XFD11,8.32,3,3507443421
Viande de Porc: Côtes à griller 1kg,2023-08-02,TJP14564UNQ75,18.96,25,5129620103
Carpaccio à la Thai 230g,2023-08-05,XEJ39812ZLX75,28.93,15,9071184473
Carpaccio bœuf olives 230g,2023-07-04,ABG70211ROB21,11.43,25,1922530735
Merguez bœuf et mouton (6),2023-06-24,MCH21523ABC58,18.54,4,7607655780
Echine de porc à la provençale (4),2023-06-17,MTP97094LRN49,10.07,21,7568287485
Côtes de porc échines Bio 300g,2023-07-01,VDH99456PWF93,13.76,3,3158760165
Steaks hachés pur bœuf 15% MG (2),2023-07-18,QAR93519SBL73,14.54,7,1073686807
Steaks hachés pur bœuf 5% MG sous vide (2),2023-09-04,CMV37486GWL59,32.19,15,5741420354
Filets de poulet blanc fermier Label Rouge (2),2023-06-23,FWC13282HGY80,5.99,3,8004736426
Assortiment de viande: colis de la semaine 2.3kg,2023-07-24,VMN78486LZJ53,34.14,1,4578497248
Viande bovine: Rôti 800g,2023-09-07,YEJ53109OGK65,29.16,14,2666589988
